"","Name","Region","State.Abbreviation","County.FIPS.Code","Population","Premature.death","Life.expectancy","Child.mortality","Poor.or.fair.health","Unemployment","Income.inequality","Median.income","Homeownership","Food.insecurity","Severe.housing.problems","School.funding.adequacy","High.school.completion","Reading.scores","Free.or.reduced.lunch.eligibility","Adult.smoking","Excessive.drinking","Physical.inactivity","Adult.obesity","Uninsured","Uninsured.children","Primary.care.physicians","Not.proficient.in.English","Rural"
"2984","Snohomish County","West","WA",61,830393,5560.221197,80.29718003,3341841.898,14.7,8.4534722,3.753046825,93589,68.0420996,8.4,15.6194454,526131.6143,92.541041,3.102972273,35.3516295,13.8,16.6226904,19.2,30,7.2309361,3.1969722,0.000516979,3.6647417,10.8194607
"2985","Spokane County","West","WA",63,528225,6849.297316,78.31620346,4009983.325,16.8,8.7517683,4.306582507,60827,63.097694,12.8,15.9655398,419692.7333,94.0914215,2.976049358,47.114821,16.1,16.8524728,20.1,31.5,6.9516817,2.4291911,0.000891358,0.9934187,13.6717167
"2986","Stevens County","West","WA",65,46360,6884.904434,79.50655385,2826455.625,18.3,9.4149366,4.370231737,50958,79.0024045,14.3,14.7404646,335332.9611,91.6635905,3.122187396,47.9461015,18.7,17.9082392,21.9,31.3,9.0264195,4.4145873,0.000743608,0.763983,79.2056236
"2987","Thurston County","West","WA",67,294074,5799.532885,80.05792595,3861647.338,14.9,8.2785908,3.80210178,79769,66.0309999,10.9,15.1938558,563305.825,93.8920617,3.123591424,38.0646743,13.8,17.0706595,17.8,33.3,6.866541,2.7219417,0.000960294,1.447341,20.9887261
"2988","Wahkiakum County","West","WA",69,4498,10078.81241,78.80404087,5021308.916,16.8,8.8005678,4.131224662,62099,89,11.6,8.9430894,-248731.5,92.6698451,2.832751988,61.2840467,17.1,18.2253101,21.5,34.6,8.2574992,4.2553192,0.000676619,0,100
"2989","Walla Walla County","West","WA",71,61292,6028.129943,80.1666764,2356591.583,17.5,6.8589425,4.501923669,61281,63.9792737,11.6,17.9331988,70597.70333,87.8445865,2.674361747,57.6771222,14.4,17.5645372,22.1,30.2,9.6300607,3.7648153,0.001201448,4.1144964,17.1245811
"2990","Whatcom County","West","WA",73,231016,5397.450784,81.01581846,3201902.845,16.3,9.3483036,4.365390859,70463,62.2187507,11.8,19.7623809,331163.1257,92.7037279,2.867869963,39.9570921,15.5,18.5328687,19.1,32.6,9.1331329,3.6195915,0.000916043,1.5616996,25.8735209
"2991","Whitman County","West","WA",75,49500,4844.850543,80.57580684,6728343.146,16.8,5.9179403,6.697768763,52066,44.2034082,13.8,24.2322725,603744.2,95.5555556,3.420085001,35.9270517,14.4,18.2182837,20.3,29.3,6.9401218,3.4026708,0.000598755,1.7157378,27.5303734
"2992","Yakima County","West","WA",77,251879,8433.467003,76.95440047,4381028.126,25.7,9.7033474,3.939623964,56353,62.3434609,12.4,20.4738761,-153692.3467,74.3176179,2.652423473,73.5812772,16.4,13.8578241,28.6,37.1,15.1188092,4.9476174,0.00070155,10.6651859,23.519206
"2993","Barbour County","South","WV",1,16444,10321.97298,75.04705645,8965685.875,26.1,8.2617587,4.172855513,43773,73.1647131,14.7,8.7295401,58800.78,87.3077603,2.642809495,50,25.4,13.3819274,33.1,35.5,9.1125328,3.4273582,0.000425765,0.4013762,83.7241546
"2994","Berkeley County","South","WV",3,122125,10210.30262,74.87675937,6285698.669,22.3,6.2190377,3.729517875,67163,74.3402915,9.2,12.6749162,224423.2,90.3060722,2.826157162,52.3807107,22.4,16.0643493,30.1,37.5,8.0125813,3.1698861,0.000444739,0.63577,31.6255316
"2995","Boone County","South","WV",5,21055,14933.81778,71.10258528,8755129.959,28.7,10.4967198,5.013019953,49076,78.1613163,16.8,12.7868853,255721.4,83.3983251,2.843313066,60.397387,28.1,14.201488,37.2,43.7,8.1284316,3.0623485,0.000279629,0.1201288,81.4080962
"2996","Braxton County","South","WV",7,13702,9902.801955,76.27306791,7304068.366,27.9,10.3831418,4.109992173,47959,78.562067,16.1,10.3825137,126947.3,81.9324886,2.61185422,56.8992248,26.9,13.3848338,35.8,40.4,9.5610519,4.0853883,0.000429892,0.0974732,100
"2997","Brooke County","South","WV",9,21674,8602.347021,75.83464476,6435834.728,22,8.978891,3.91186216,50381,72.5490196,11.5,8.940231,308534.2,91.9493891,2.799266128,32.292828,23.7,15.2128192,30.6,37.6,6.9685975,2.7265842,0.000227905,0.4867675,42.1288795
"2998","Cabell County","South","WV",11,91589,15316.17154,71.31164478,6956664.075,23.9,7.9673866,6.288450975,44161,62.2378868,14.7,14.3199596,230548.6,88.2376491,2.943499158,50.9065551,23.7,15.3569076,29.8,37.5,8.2593914,2.7521942,0.001751047,0.1760383,21.558571
"2999","Calhoun County","South","WV",13,6945,8321.928169,76.54762884,5539782.564,28.5,16.0552268,4.929348168,41726,80.0995025,19.9,5.9336824,82298.34,82.8197084,3.341076634,51.6542156,28.6,13.6662931,36.5,42.4,9.0440756,3.7149356,0.000422,0,100
"3000","Clay County","South","WV",15,8341,14674.37192,71.4093231,7537666.921,30.4,12.4960355,5.143248175,36537,78.4047267,20.3,8.8957055,39721,77.7740132,3.190004135,68.4500827,30,13.6980557,36.5,40.7,8.3824196,3.0015798,0.000117536,0,100
"3001","Doddridge County","South","WV",17,8368,8986.598195,79.8121315,5119235.528,24.6,6.2906161,4.584242233,50445,91.0026687,11.8,7.3724008,966507.3,82.0883662,2.993453102,45.2274755,25.6,14.9714454,31.6,39.9,8.6300872,3.8461539,0.000118371,0.929209,100
"3002","Fayette County","South","WV",19,42062,13033.54387,72.68884191,5943284.089,27.9,9.9729464,4.903441956,41964,78.4391534,15.8,10.8457432,268320.9,84.5060937,2.768940698,100,28,14.1515055,36.8,39.1,9.1865603,2.9375071,0.000471631,0.1176528,57.8726732
"3003","Gilmer County","South","WV",21,7811,8095.113222,76.75568818,4958911.873,26,10.0768574,4.165976192,41579,70.3895072,11.7,9.17603,225359.1,84.2047532,3.00616481,47.5186104,24.2,14.941324,32.7,42.7,7.9473013,3.1141869,0.000383485,0.7501974,60.7155182
"3004","Grant County","South","WV",23,11510,9501.752916,76.57433157,6558196.184,25.6,6.5170045,4.135298332,45624,80.8550186,10.8,9.3304062,21735.06,82.5309652,2.896848435,48.9808524,25.9,15.1093365,33.6,41.8,8.9229697,3.787549,0.000605118,1.1022044,78.6797353
